OrderID,ShipmentID,CustomerID,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,OriginRegion,DestinationRegion,Distance_km,ShippingMode,CarrierType,ProductCategory,Priority,Weight_kg,Volume_m3,ShipmentStatus,ShippingCost_USD,Revenue_USD,Profit_USD,CustomerRating,InsuranceRequired,CustomsCleared
ORD-100089,SHP-500089,CUST-1387,10/8/2023,10/23/2023,10/22/2023,Asia,Oceania,2837,Sea,Internal Fleet,Pharmaceuticals,High,493.49,2.03,Delivered,358.19,487.48,129.29,5,Yes,Yes
ORD-100090,SHP-500090,CUST-1001,5/13/2022,6/3/2022,6/1/2022,Oceania,South America,4015,Sea,3rd Party Logistics,Perishables,Critical,159.65,1.92,Delivered,144.41,206.15,61.74,5,No,Yes
ORD-100091,SHP-500091,CUST-1389,5/26/2022,5/30/2022,5/29/2022,North America,North America,1110,Road,Internal Fleet,Machinery,Medium,4508.41,12.21,Delivered,2392.92,3107.82,714.9,5,Yes,N/A
ORD-100092,SHP-500092,CUST-1565,5/11/2022,5/16/2022,5/14/2022,Africa,Africa,1671,Road,Internal Fleet,Furniture,Medium,243.64,3.37,Delivered,180.62,240.56,59.94,5,No,N/A
ORD-100093,SHP-500093,CUST-1105,12/20/2022,3/21/2023,3/19/2023,South America,Africa,17625,Sea,Internal Fleet,Clothing,Low,670.78,6.97,Delivered,457.96,597.79,139.83,5,No,Yes
ORD-100094,SHP-500094,CUST-1771,9/26/2023,11/12/2023,11/10/2023,North America,Asia,9234,Sea,3rd Party Logistics,Furniture,High,177.9,6.32,Delivered,233.76,302.41,68.65,4,No,Yes
ORD-100095,SHP-500095,CUST-1821,5/29/2023,5/31/2023,5/29/2023,Asia,Asia,702,Road,Internal Fleet,Pharmaceuticals,High,776.21,2.62,Delivered,552.28,730.93,178.65,4,No,N/A
ORD-100096,SHP-500096,CUST-1476,3/6/2022,3/10/2022,3/10/2022,Europe,Europe,113,Road,3rd Party Logistics,Electronics,Medium,55.09,0.48,Delivered,34.01,39.51,5.5,5,No,N/A
ORD-100097,SHP-500097,CUST-1702,3/11/2023,3/15/2023,3/14/2023,Asia,Asia,329,Rail,3rd Party Logistics,Electronics,Low,74.86,1.03,Delivered,50.4,60.77,10.37,5,Yes,N/A
ORD-100098,SHP-500098,CUST-1401,2/4/2022,2/23/2022,2/25/2022,Europe,Oceania,13163,Air,Internal Fleet,Machinery,Low,2012.01,8.99,Delayed,1754.1,2130.16,376.06,2,Yes,Yes
ORD-100099,SHP-500099,CUST-1729,11/24/2022,12/18/2022,12/18/2022,Oceania,Oceania,4325,Sea,3rd Party Logistics,Clothing,Low,598.64,2.28,Delivered,335.09,423.84,88.75,4,No,N/A
ORD-100100,SHP-500100,CUST-1555,3/4/2023,3/13/2023,3/12/2023,North America,Oceania,6850,Air,Internal Fleet,Pharmaceuticals,Critical,261.66,1.56,Delivered,635.61,813.81,178.2,4,No,Yes
ORD-100101,SHP-500101,CUST-1161,11/30/2022,12/9/2022,12/7/2022,Oceania,North America,5372,Air,3rd Party Logistics,Clothing,Low,754.02,10.49,Delivered,750.56,1029.7,279.14,4,No,Yes
ORD-100102,SHP-500102,CUST-1201,10/25/2022,10/31/2022,10/31/2022,South America,South America,2318,Road,Internal Fleet,Machinery,Medium,2808.02,19.59,Delivered,1634.72,1961.11,326.39,4,Yes,N/A
ORD-100103,SHP-500103,CUST-1957,4/23/2022,4/26/2022,4/26/2022,Africa,Africa,1266,Road,3rd Party Logistics,Pharmaceuticals,High,543.76,2.25,Delivered,407.34,538.08,130.74,4,Yes,N/A
ORD-100104,SHP-500104,CUST-1995,4/4/2022,4/29/2022,4/29/2022,Europe,Africa,4879,Sea,3rd Party Logistics,Pharmaceuticals,High,244.58,0.93,Delivered,190.12,234.17,44.05,4,Yes,Yes
ORD-100105,SHP-500105,CUST-1269,9/18/2023,10/11/2023,10/12/2023,Africa,South America,4188,Sea,Internal Fleet,Electronics,Medium,34.15,0.49,Delayed,34.58,45.12,10.54,3,No,Yes
ORD-100106,SHP-500106,CUST-1862,6/3/2023,6/8/2023,6/7/2023,Oceania,Europe,3781,Air,Internal Fleet,Electronics,High,47.07,0.34,Delivered,280.81,375.72,94.91,4,Yes,Yes
ORD-100107,SHP-500107,CUST-1815,2/1/2023,2/5/2023,2/3/2023,North America,North America,75,Road,Internal Fleet,Electronics,Low,7.82,0.09,Delivered,5.98,7.92,1.94,5,No,N/A
ORD-100108,SHP-500108,CUST-1270,6/18/2023,6/27/2023,7/3/2023,North America,North America,2445,Rail,Internal Fleet,Furniture,Medium,333.52,8.05,Delayed,266.77,324.02,57.25,2,Yes,N/A
ORD-100109,SHP-500109,CUST-1455,2/26/2022,2/28/2022,2/26/2022,Oceania,Oceania,1275,Air,Internal Fleet,Perishables,Critical,80.12,0.6,Delivered,142.78,194.59,51.81,5,No,N/A
ORD-100110,SHP-500110,CUST-1461,6/22/2022,9/17/2022,9/16/2022,Oceania,Africa,16908,Sea,3rd Party Logistics,Electronics,Medium,82.27,0.56,Delivered,97.47,131.21,33.74,4,No,Yes
ORD-100111,SHP-500111,CUST-1726,11/25/2023,12/4/2023,12/4/2023,North America,North America,3239,Rail,Internal Fleet,Perishables,High,49.38,0.26,Delivered,69.12,98.81,29.69,5,No,N/A
ORD-100112,SHP-500112,CUST-1251,1/2/2022,1/6/2022,1/6/2022,South America,South America,1566,Rail,3rd Party Logistics,Perishables,High,114.25,0.52,Delivered,97.3,130.41,33.11,5,No,N/A
ORD-100113,SHP-500113,CUST-1701,4/1/2023,4/5/2023,4/4/2023,Europe,Europe,58,Road,3rd Party Logistics,Clothing,Low,17.81,0.33,Delivered,13.09,17.88,4.79,5,No,N/A
ORD-100114,SHP-500114,CUST-1295,4/14/2023,5/2/2023,5/1/2023,Africa,Oceania,12135,Air,Internal Fleet,Machinery,Low,3995.96,32.67,Delivered,2931.38,4084.32,1152.94,5,Yes,Yes
ORD-100115,SHP-500115,CUST-1724,4/28/2022,5/16/2022,5/16/2022,Asia,Africa,12172,Air,3rd Party Logistics,Furniture,Low,166.49,2.15,Delivered,713.33,843.01,129.68,4,Yes,Yes
ORD-100116,SHP-500116,CUST-1719,8/19/2023,8/23/2023,8/22/2023,Oceania,Oceania,2369,Road,3rd Party Logistics,Perishables,Critical,985.39,10.91,Delivered,828.48,1125.82,297.34,4,Yes,N/A
ORD-100117,SHP-500117,CUST-1748,7/10/2023,10/13/2023,10/12/2023,Oceania,Oceania,18415,Sea,3rd Party Logistics,Furniture,Low,289.23,5.4,Delivered,253.87,316.21,62.34,4,Yes,N/A
ORD-100118,SHP-500118,CUST-1337,8/4/2023,8/9/2023,,North America,Asia,1851,Air,3rd Party Logistics,Clothing,Low,457.86,1.63,Cancelled,337.76,471.83,134.07,1,No,Yes
ORD-100119,SHP-500119,CUST-1878,7/19/2023,7/21/2023,7/21/2023,Africa,Africa,654,Road,3rd Party Logistics,Electronics,High,75.65,0.6,Delivered,69.7,90.2,20.5,5,No,N/A
ORD-100120,SHP-500120,CUST-1052,5/11/2023,5/27/2023,5/25/2023,Africa,North America,12391,Air,3rd Party Logistics,Pharmaceuticals,High,276.87,1.75,Delivered,1008.08,1334.88,326.8,4,No,Yes
ORD-100121,SHP-500121,CUST-1791,11/28/2022,12/2/2022,12/2/2022,South America,South America,1822,Road,3rd Party Logistics,Perishables,Critical,492.55,3.95,Delivered,407.02,499.86,92.84,4,No,N/A
ORD-100122,SHP-500122,CUST-1921,5/27/2023,7/30/2023,7/30/2023,Europe,Asia,12256,Sea,3rd Party Logistics,Machinery,Medium,926.68,6.72,Delivered,567.3,763.11,195.81,4,Yes,Yes
ORD-100123,SHP-500123,CUST-1216,10/3/2023,10/14/2023,10/12/2023,South America,Europe,8720,Air,Internal Fleet,Pharmaceuticals,High,188.86,1.87,Delivered,713.89,828.61,114.72,5,No,Yes
ORD-100124,SHP-500124,CUST-1763,6/12/2022,6/18/2022,6/20/2022,South America,South America,2398,Road,Internal Fleet,Clothing,Medium,249.84,2.19,Delayed,182.83,251.31,68.48,2,No,N/A
ORD-100125,SHP-500125,CUST-1187,9/8/2022,9/30/2022,9/29/2022,Africa,Africa,3807,Sea,Internal Fleet,Furniture,Medium,238.74,4.72,Delivered,178,213.42,35.42,4,Yes,N/A
